sme_id,supplier_name,location,material,year,month,monthly_production_kg,water_consumption_liters,energy_consumption_kwh,waste_generation_kg,scope2_ghg_kgco2e,scope1_3_ghg_kgco2e_placeholder_v1,total_ghg_kgco2e_placeholder_v1,scope1_3_ghg_kgco2e,total_ghg_kgco2e
SME0037,Shree Fabrics,Pali,Cotton,2025,2,904.6,88149.3,7873.8,62.0,5039.25,1038.61,6077.86,15272.35,20311.6
SME0038,Shree Ram Textiles,Erode,Cotton,2025,5,769.6,76166.1,6765.7,41.7,4330.02,834.51,5164.53,12993.15,17323.17
SME0039,Om Textiles,Jaipur,Georgette,2025,12,333.9,21123.9,4202.5,24.9,2689.58,770.6,3460.18,5202.46,7892.04
SME0040,RSN Textiles,Erode,Cotton,2025,3,802.5,82438.1,6099.6,49.4,3903.74,1055.23,4958.97,13548.6,17452.34
SME0041,Swastik Textiles,Jaipur,Rayon,2025,1,1346.7,152022.3,15687.1,80.9,10039.78,2461.34,12501.12,24188.34,34228.12
SME0042,Vimal Textiles,Ahmedabad,Linen,2025,1,357.2,33578.3,2390.8,15.3,1530.09,367.59,1897.68,6030.6,7560.69
SME0043,Manav Textiles,Surat,Cotton,2025,5,1492.3,148333.0,11412.1,99.8,7303.72,1879.48,9183.2,25194.49,32498.21
SME0044,Sai Ram Fabrics,Tirupur,Cotton,2025,5,1398.2,137811.7,12229.6,95.6,7826.92,1796.3,9623.22,23605.8,31432.72
SME0045,Emco Textiles,Jetpur,Silk,2025,6,351.1,50226.3,4200.8,16.9,2688.51,687.41,3375.92,6655.94,9344.45
SME0046,Sri Lakshmi Silks,Surat,Silk,2025,2,1068.4,162505.6,11787.9,55.3,7544.25,2346.23,9890.48,20254.07,27798.32
SME0047,Sathya Textiles,Pali,Cotton,2025,6,440.9,42284.9,3402.0,29.2,2177.29,490.63,2667.92,7443.71,9621.0
SME0048,Shree Fabrics,Pali,Silk,2025,12,590.5,84918.5,7524.4,32.3,4815.63,1267.7,6083.34,11194.33,16009.96
SME0049,Sri Textiles,Karur,Cotton,2025,12,806.1,80634.4,6833.5,50.5,4373.46,1006.39,5379.85,13609.38,17982.84
SME0050,Royal Fabrics,Ahmedabad,Rayon,2025,3,1339.0,133374.5,14961.3,78.9,9575.24,2493.12,12068.37,24050.03,33625.27
SME0051,Swastik Textiles,Jaipur,Linen,2025,4,741.1,67267.9,4966.2,38.1,3178.39,671.51,3849.9,12511.98,15690.37
SME0052,Vimal Textiles,Ahmedabad,Cotton,2025,12,135.1,12978.4,1088.8,7.7,696.84,172.75,869.59,2280.89,2977.73
SME0053,Om Textiles,Jaipur,Cotton,2025,3,386.5,39599.9,2835.6,20.1,1814.77,466.71,2281.48,6525.28,8340.05
SME0054,Sri Velavan Textiles,Erode,Linen,2025,1,985.2,92677.4,7552.7,49.5,4833.75,950.32,5784.06,16633.12,21466.87
SME0055,Vasanth Textiles,Tirupur,Rayon,2025,7,646.3,70147.8,7456.3,35.9,4772.03,1089.89,5861.92,11608.32,16380.35
SME0056,Emco Textiles,Jetpur,Chiffon,2025,6,688.2,46419.4,7528.7,54.2,4818.35,1632.64,6450.99,10722.77,15541.12
SME0057,Balaji Textiles,Surat,Cotton,2025,5,1094.7,112977.4,8372.1,74.6,5358.18,1376.14,6734.32,18481.81,23839.99
SME0058,Swastik Textiles,Surat,Linen,2025,9,948.6,84001.2,6305.2,45.4,4035.31,997.52,5032.83,16015.2,20050.51
SME0059,Trendy Textiles,Jaipur,Silk,2025,5,565.5,77899.9,6235.2,26.7,3990.52,1239.47,5229.99,10720.4,14710.92
SME0060,Fashion Hub,Delhi,Cotton,2025,5,753.3,69271.0,6016.3,44.8,3850.43,844.88,4695.31,12717.96,16568.39
SME0061,Ethnic Styles,Surat,Rayon,2025,10,645.9,72695.2,7296.9,33.5,4669.99,1133.46,5803.46,11601.13,16271.12
SME0062,Royal Attire,Ahmedabad,Wool,2025,7,1405.5,168695.1,14165.7,89.0,9066.04,2444.71,11510.75,25039.81,34105.85
SME0063,Modern Designs,Coimbatore,Chiffon,2025,3,1420.8,99134.3,17514.7,108.4,11209.42,3530.75,14740.17,22137.33,33346.75
SME0064,Everyday Wear,Bangalore,Cotton,2025,1,993.5,98520.5,8020.5,67.5,5133.13,1165.04,6298.17,16773.25,21906.38
SME0065,Classic Fit,Mumbai,Linen,2025,3,1005.1,85152.4,6717.6,46.0,4299.28,980.43,5279.71,16969.09,21268.37
SME0066,Summer Vibes,Chennai,Georgette,2025,2,957.9,60228.2,11852.8,64.7,7585.79,2382.46,9968.26,14924.94,22510.73
SME0067,Dreamy Fabrics,Kolkata,Satin,2025,8,450.2,26990.6,6078.4,30.1,3890.16,1223.79,5113.95,7014.52,10904.68
SME0068,Winter Wear,Ludhiana,Wool,2025,3,1123.8,143041.2,10748.1,60.9,6878.78,2006.22,8885.0,20021.16,26899.94
SME0069,Fashion Forward,Jaipur,Cotton,2025,5,1486.5,146052.1,11587.6,96.6,7416.07,1727.01,9143.07,25096.56,32512.63
SME0070,Festive Looks,Surat,Velvet,2025,1,418.8,41217.1,6144.5,27.0,3932.5,898.83,4831.33,6525.28,10457.78
SME0071,Light Layers,Bangalore,Chiffon,2025,12,797.5,55222.0,9225.6,62.4,5904.37,1871.59,7775.95,12425.76,18330.13
SME0072,Traditional Styles,Erode,Cotton,2025,4,1441.1,154115.4,11194.2,98.3,7164.32,1790.46,8954.78,24330.08,31494.4
SME0073,Cozy Knit,Pune,Wool,2025,11,894.3,110145.6,8850.8,50.3,5664.51,1468.21,7132.72,15932.48,21596.99
SME0074,Breezy Fit,Coimbatore,Linen,2025,10,382.1,37457.8,2825.2,16.9,1808.11,415.03,2223.14,6450.99,8259.1
SME0075,Elegant Fashion,Hyderabad,Georgette,2025,2,161.7,10614.6,1917.7,12.6,1227.33,376.51,1603.84,2519.43,3746.76
SME0076,Stylish Flare,Kolkata,Satin,2025,8,1455.5,90614.1,20196.7,113.1,12925.87,3885.08,16810.95,22677.99,35603.86
SME0077,Trendy Trousers,Chennai,Cotton,2025,3,183.3,19509.9,1526.9,9.6,977.21,201.7,1178.9,3094.65,4071.86
SME0078,Casual Comfort,Bangalore,Polyester,2025,4,905.5,43706.9,14615.7,58.4,9354.08,2938.0,12292.08,14108.5,23462.58
SME0079,Stylish Silhouette,Mumbai,Chiffon,2025,10,577.3,39086.9,6902.2,38.9,4417.41,1442.35,5859.76,8994.85,13412.26
SME0080,Regal Look,Jaipur,Silk,2025,10,1367.0,189105.2,16379.8,58.3,10483.07,2716.86,13199.94,25914.74,36397.81
SME0081,Casual Wear,Delhi,Cotton,2025,12,1132.2,119270.4,9642.3,72.9,6171.1,1407.83,7578.93,19114.92,25286.02
SME0082,Fashion Layers,Surat,Wool,2025,6,1446.3,169212.6,13843.2,96.4,8859.62,2322.79,11182.41,25766.69,34626.31
SME0083,Breezy Fit,Erode,Rayon,2025,5,1219.0,146906.3,13559.2,69.2,8677.88,1993.83,10671.71,21894.69,30572.57
SME0084,Stylish Casual,Bangalore,Denim,2025,9,1490.0,177188.9,13554.4,102.0,8674.84,2395.01,11069.85,29766.9,38441.74
SME0085,Elegant Comfort,Kolkata,Lace,2025,7,387.9,26037.0,5542.8,32.9,3547.37,871.51,4418.88,6468.59,10015.96
SME0086,Chic Winter,Mumbai,Wool,2025,12,144.5,16580.4,1575.2,9.7,1008.11,243.47,1251.58,2574.35,3582.46
SME0087,Fashion Forward,Coimbatore,Linen,2025,12,556.6,46784.6,4010.6,26.9,2566.8,526.48,3093.28,9397.07,11963.87
SME0088,Flowing Style,Hyderabad,Georgette,2025,1,190.4,13550.2,2507.0,14.1,1604.47,460.26,2064.73,2966.6,4571.07
SME0089,Summer Style,Delhi,Cotton,2025,6,663.9,67754.7,5067.9,35.5,3243.46,729.15,3972.61,11208.62,14452.08
SME0090,Fashion Elegance,Surat,Silk,2025,2,1428.7,223979.6,17533.3,69.7,11221.3,3104.7,14326.0,27084.41,38305.71
SME0091,Stylish Look,Bangalore,Chiffon,2025,1,863.3,52353.0,10175.7,65.5,6512.47,2063.79,8576.25,13450.98,19963.45
SME0092,Winter Warmth,Pune,Polyester,2025,1,615.0,29056.4,9027.6,47.3,5777.64,1870.49,7648.13,9582.25,15359.89
SME0093,Everyday Wear,Chennai,Rayon,2025,1,745.5,80608.0,7828.9,38.8,5010.47,1439.78,6450.26,13390.07,18400.54
SME0094,Party Glam,Kolkata,Lycra,2025,10,838.8,35229.0,14529.8,51.6,9299.07,2805.55,12104.62,16241.54,25540.61
SME0095,Layering Essentials,Mumbai,Cotton,2025,4,1286.5,122149.3,10190.2,68.6,6521.73,1683.99,8205.72,21719.97,28241.7
SME0096,Stylish Wrap,Delhi,Silk,2025,10,404.7,62789.6,4971.1,19.4,3181.53,746.84,3928.37,7672.05,10853.58
SME0097,Smart Casual,Bangalore,Cotton,2025,12,787.4,78365.4,6716.7,44.5,4298.67,1004.67,5303.34,13293.67,17592.34
SME0098,Flowy Style,Surat,Chiffon,2025,5,876.5,61264.3,10315.0,54.6,6601.58,1905.35,8506.93,13656.65,20258.23
SME0099,Urban Fashion,Pune,Polyester,2025,6,960.8,45000.7,13584.6,59.9,8694.17,2602.54,11296.72,14970.12,23664.29
SME0100,Effortless Style,Chennai,Georgette,2025,9,943.5,63003.5,11446.1,57.9,7325.52,2366.93,9692.45,14700.57,22026.09
SME0101,Traditional Elegance,Jaipur,Silk,2025,5,809.9,128376.9,9517.7,42.0,6091.33,1737.19,7828.52,15353.58,21444.91
SME0102,Casual Comfort,Kolkata,Cotton,2025,5,1211.0,120115.4,10350.8,78.5,6624.54,1327.13,7951.67,20445.3,27069.84
SME0103,Summer Breeze,Mumbai,Linen,2025,3,1471.6,132248.5,9948.4,76.5,6366.97,1395.12,7762.09,24845.01,31211.98
SME0104,Active Wear,Bangalore,Polyester,2025,4,842.9,37628.0,12857.8,57.2,8229.02,2628.67,10857.69,13133.13,21362.15
SME0105,Glamorous Nights,Hyderabad,Satin,2025,2,338.3,19671.5,4746.9,23.5,3038.02,874.09,3912.11,5271.02,8309.04
SME0106,Casual Layer,Delhi,Cotton,2025,6,934.7,88307.6,7958.8,53.5,5093.66,1087.46,6181.12,15780.53,20874.19
SME0107,Warm Layer,Surat,Wool,2025,10,206.0,22844.4,2043.8,11.3,1308.06,340.69,1648.75,3670.01,4978.07
SME0108,Office Chic,Coimbatore,Georgette,2025,11,1060.4,62575.3,13486.8,77.1,8631.54,2332.08,10963.62,16521.98,25153.52
SME0109,Classic Style,Mumbai,Cotton,2025,4,1387.6,126579.0,10605.4,90.9,6787.48,1747.8,8535.27,23426.84,30214.32
SME0110,Stylish Fit,Chennai,Chiffon,2025,8,377.3,23889.2,4513.6,27.3,2888.69,881.78,3770.47,5878.67,8767.36
SME0111,Fashion Forward,Bangalore,Linen,2025,7,1103.1,90588.9,7177.7,49.1,4593.72,1144.39,5738.11,18623.63,23217.35
SME0112,Flowing Elegance,Jaipur,Rayon,2025,9,806.6,89295.9,8175.5,47.6,5232.33,1461.35,6693.68,14487.5,19719.83
SME0113,Summer Essential,Kolkata,Cotton,2025,12,1127.1,105548.0,9132.2,74.5,5844.58,1241.4,7085.98,19028.82,24873.4
SME0114,Active Lifestyle,Pune,Polyester,2025,2,411.2,17922.7,6135.9,27.5,3926.97,1270.32,5197.29,6406.86,10333.83
SME0115,Elegant Evening,Hyderabad,Silk,2025,3,203.4,30736.4,2483.2,10.9,1589.24,401.24,1990.48,3855.93,5445.17
SME0116,Cozy Style,Delhi,Cotton,2025,11,617.9,59781.2,5338.3,38.3,3416.52,703.57,4120.09,10432.0,13848.52
SME0117,Elegant Layer,Surat,Velvet,2025,7,1480.9,143661.7,19643.0,91.3,12571.52,3031.78,15603.31,23073.74,35645.26
SME0118,Feminine Charm,Bangalore,Chiffon,2025,9,772.7,53749.5,8508.1,59.1,5445.21,1689.67,7134.89,12039.36,17484.57
SME0119,Athleisure Wear,Mumbai,Cotton,2025,2,193.9,19485.1,1523.4,13.3,974.98,214.63,1189.6,3273.61,4248.59
SME0120,Fun Fashion,Chennai,Cotton,2025,6,897.9,97285.6,6472.5,61.6,4142.4,1075.49,5217.88,15159.24,19301.64
SME0121,Stylish Flow,Kolkata,Georgette,2025,12,1029.5,72664.1,12494.2,73.6,7996.32,2362.07,10358.39,16040.53,24036.85
SME0122,Active Comfort,Pune,Polyester,2025,12,371.2,18267.5,5802.9,23.6,3713.87,1166.22,4880.08,5783.63,9497.5
SME0123,Classic Cut,Coimbatore,Linen,2025,4,243.1,22363.1,1629.8,12.5,1043.05,226.3,1269.34,4104.25,5147.3
SME0124,Luxury Accessory,Jaipur,Silk,2025,10,535.3,81802.7,6255.6,26.4,4003.58,1081.01,5084.59,10147.89,14151.47
SME0125,Cozy Knit,Mumbai,Wool,2025,1,1485.7,171949.7,15777.8,82.6,10097.77,2617.37,12715.14,26468.62,36566.39
SME0126,Elegant Layering,Chennai,Satin,2025,5,245.7,14662.9,3261.9,18.7,2087.6,565.93,2653.54,3828.23,5915.83
SME0127,Everyday Look,Delhi,Cotton,2025,12,1259.5,137664.0,9318.9,80.8,5964.09,1643.9,7607.99,21264.13,27228.22
SME0128,Stylish Comfort,Surat,Silk,2025,11,618.5,100687.8,7750.9,26.7,4960.6,1306.65,6267.25,11725.14,16685.74
SME0129,Edgy Style,Bangalore,Polyester,2025,11,1209.3,51171.1,16919.3,76.1,10828.34,3856.15,14684.49,18841.97,29670.31
SME0130,Cozy Elegance,Hyderabad,Wool,2025,8,979.9,127180.0,9438.8,60.4,6040.82,1726.79,7767.61,17457.5,23498.32
SME0131,Flexible Fit,Pune,Spandex,2025,1,703.6,27451.3,11173.6,39.7,7151.09,2363.02,9514.11,13623.69,20774.78
SME0132,Figure-Hugging,Kolkata,Georgette,2025,3,409.7,28758.7,4802.2,29.1,3073.43,1063.22,4136.64,6383.49,9456.92
SME0133,Feminine Flair,Delhi,Cotton,2025,4,850.8,83914.9,6578.8,54.6,4210.44,1060.52,5270.96,14364.05,18574.49
SME0134,Comfy Style,Mumbai,Cotton,2025,6,1207.5,123649.8,9724.6,81.0,6223.77,1532.64,7756.41,20386.21,26609.98
SME0135,Resort Wear,Chennai,Silk,2025,2,1148.4,179390.9,14548.6,51.3,9311.1,2161.08,11472.18,21770.66,31081.76
SME0136,Casual Chic,Delhi,Denim,2025,4,1162.7,162540.7,10133.8,76.5,6485.63,1715.45,8201.08,23228.17,29713.8
SME0137,Lightweight Layer,Surat,Chiffon,2025,4,728.9,48363.6,8750.8,51.6,5600.51,1744.59,7345.1,11356.91,16957.42
SME0138,Comfortable Fit,Bangalore,Cotton,2025,11,1105.6,115425.4,9094.5,70.2,5820.47,1338.06,7158.53,18665.83,24486.3
SME0139,Elegant Casual,Hyderabad,Silk,2025,7,930.6,148713.6,12192.5,44.3,7803.21,1759.71,9562.92,17641.74,25444.95
SME0140,Classic Style,Pune,Cotton,2025,9,736.0,80184.0,5479.8,45.3,3507.06,884.24,4391.3,12425.88,15932.94
SME0141,Smart Casual,Coimbatore,Linen,2025,5,443.5,41719.9,3162.2,19.5,2023.82,480.64,2504.46,7487.61,9511.43
SME0142,Bohemian Vibe,Chennai,Rayon,2025,6,1389.9,159225.9,14226.4,85.3,9104.92,2555.22,11660.14,24964.26,34069.18
SME0143,Formal Elegance,Kolkata,Satin,2025,5,189.8,10486.6,2635.4,14.9,1686.66,438.7,2125.36,2957.25,4643.91
SME0144,Fashion Forward,Mumbai,Georgette,2025,7,1478.5,102616.3,16410.2,116.6,10502.5,3810.91,14313.41,23036.35,33538.85
SME0145,Stylish Layer,Bangalore,Wool,2025,9,402.9,49391.3,3931.7,25.9,2516.32,644.6,3160.92,7177.9,9694.22
SME0146,Fun and Functional,Surat,Cotton,2025,2,86.6,8371.6,678.7,5.3,434.36,112.65,547.01,1462.07,1896.43
SME0147,Classic Fit,Delhi,Linen,2025,11,741.3,66461.3,5623.4,38.0,3598.96,672.04,4271.0,12515.36,16114.32
SME0148,Summer Breeze,Hyderabad,Rayon,2025,1,280.0,28806.5,3079.0,16.4,1970.56,545.82,2516.37,5029.13,6999.69
SME0149,Edgy Look,Pune,Faux Leather,2025,1,1188.3,204379.4,19070.2,97.7,12204.95,4767.62,16972.57,36401.9,48606.85
SME0150,Short and Stylish,Chennai,Cotton,2025,1,1444.7,134318.5,11360.3,75.9,7270.56,1905.92,9176.48,24390.86,31661.42
SME0151,Versatile Style,Kolkata,Georgette,2025,1,505.4,31602.2,5940.3,34.6,3801.76,1285.68,5087.45,7874.58,11676.34
SME0152,Elegant Layering,Bangalore,Silk,2025,2,131.9,19674.5,1603.3,5.7,1026.13,278.34,1304.47,2500.48,3526.61
SME0153,Relaxed Fit,Mumbai,Cotton,2025,1,824.6,81483.1,6465.9,50.4,4138.16,921.29,5059.45,13921.71,18059.87
SME0154,Fun and Flirty,Surat,Chiffon,2025,2,554.8,33000.4,6994.8,36.2,4476.67,1437.36,5914.03,8644.28,13120.95
SME0155,Simple Style,Delhi,Cotton,2025,1,660.4,59771.3,4919.9,42.2,3148.72,817.67,3966.39,11149.53,14298.25
SME0156,Outdoor Essential,Bangalore,Cotton,2025,9,863.4,82090.1,6487.4,51.9,4151.94,1055.78,5207.71,14576.77,18728.71
SME0157,Elegant Layer,Hyderabad,Wool,2025,8,1215.9,136527.4,12530.4,67.2,8019.49,1901.44,9920.92,21661.98,29681.47
SME0158,Artistic Flair,Jaipur,Chiffon,2025,5,1105.6,76976.4,14143.4,75.0,9051.79,2742.64,11794.43,17226.23,26278.02
SME0159,Summer Comfort,Pune,Cotton,2025,5,657.1,63396.9,4822.5,41.0,3086.41,825.72,3912.13,11093.81,14180.22
SME0160,Sporty Style,Chennai,Polyester,2025,5,117.7,4959.0,1794.8,8.0,1148.69,380.83,1529.52,1833.87,2982.56
SME0161,Office Look,Kolkata,Cotton,2025,5,565.4,53819.6,4414.4,34.8,2825.19,647.01,3472.2,9545.64,12370.83
SME0162,Flowing Fashion,Delhi,Georgette,2025,10,570.2,39092.8,6654.6,44.2,4258.94,1291.71,5550.65,8884.22,13143.16
SME0163,Cozy Winter,Mumbai,Wool,2025,1,1164.3,129659.6,12501.0,69.6,8000.65,2135.5,10136.15,20742.69,28743.34
SME0164,Relaxed Fit,Bangalore,Cotton,2025,9,768.4,77031.4,6444.3,48.9,4124.38,904.11,5028.49,12972.89,17097.27
SME0165,Stylish and Comfortable,Surat,Silk,2025,7,277.9,44477.3,3657.9,14.0,2341.04,519.3,2860.35,5268.26,7609.3
SME0166,Trendy Fit,Hyderabad,Denim,2025,2,1050.1,145320.4,9507.0,69.0,6084.46,1679.52,7763.98,20978.67,27063.13
SME0167,Summer Style,Pune,Cotton,2025,5,866.9,89315.3,7392.6,47.4,4731.24,938.54,5669.78,14635.86,19367.1
SME0168,Office Chic,Coimbatore,Linen,2025,5,454.4,38986.1,3328.5,21.0,2130.24,466.5,2596.74,7671.63,9801.87
SME0169,Evening Elegance,Chennai,Silk,2025,2,329.0,53440.2,3883.9,15.9,2485.67,660.49,3146.16,6236.98,8722.65
SME0170,Casual Essential,Kolkata,Denim,2025,5,316.1,43049.3,2607.5,19.6,1668.81,480.0,2148.81,6314.98,7983.79
SME0171,Youthful Style,Bangalore,Cotton,2025,6,1268.7,125276.3,10993.1,81.2,7035.56,1556.06,8591.61,21419.45,28455.01
SME0172,Winter Warmth,Jaipur,Wool,2025,4,756.0,93689.6,8220.5,48.5,5261.11,1211.93,6473.04,13468.59,18729.7
SME0173,Festival Vibes,Delhi,Rayon,2025,11,846.6,86830.9,9948.7,56.1,6367.17,1662.63,8029.8,15205.94,21573.11
SME0174,Summer Casual,Mumbai,Cotton,2025,9,554.6,58465.0,4087.7,29.0,2616.14,695.89,3312.03,9363.31,11979.45
SME0175,Retro Look,Surat,Polyester,2025,12,1081.0,49601.2,16084.2,66.0,10293.92,2969.14,13263.06,16842.94,27136.86
SME0176,Evening Glamour,Bangalore,Silk,2025,11,1066.5,152684.8,13029.0,51.1,8338.53,1958.77,10297.3,20218.05,28556.58
SME0177,Outdoor Comfort,Delhi,Polyester,2025,8,1446.2,68853.8,22519.8,101.9,14412.65,3979.98,18392.63,22533.09,36945.74
SME0178,Breezy Fit,Hyderabad,Cotton,2025,8,1156.9,118905.0,9734.7,74.1,6230.2,1426.38,7656.58,19531.93,25762.13
SME0179,Summer Chic,Chennai,Rayon,2025,10,434.5,47693.9,4513.0,29.9,2888.32,851.56,3739.88,7804.14,10692.46
SME0180,Elegant Layer,Kolkata,Silk,2025,5,915.3,151006.7,11106.2,45.4,7107.96,1762.08,8870.04,17351.69,24459.65
SME0181,Slim Fit,Pune,Polyester,2025,4,1118.1,47221.2,15481.0,76.4,9907.87,3552.43,13460.3,17421.0,27328.87
SME0182,Casual Comfort,Jaipur,Cotton,2025,3,1279.3,123301.5,10907.7,66.1,6980.9,1564.72,8545.61,21598.41,28579.31
SME0183,Winter Elegance,Mumbai,Wool,2025,7,876.2,104745.8,9436.7,53.0,6039.47,1471.97,7511.44,15610.02,21649.49
SME0184,Traditional Wear,Delhi,Silk,2025,2,172.8,24962.5,2090.0,9.4,1337.59,333.07,1670.66,3275.84,4613.43
SME0185,Trendy Style,Surat,Chiffon,2025,2,818.6,52430.2,10563.2,55.9,6760.46,1949.69,8710.14,12754.52,19514.98
SME0186,Office Ready,Bangalore,Cotton,2025,7,110.2,11845.8,886.7,7.5,567.49,140.14,707.63,1860.51,2428.0
SME0187,Utility Fashion,Hyderabad,Polyester,2025,8,93.5,3831.1,1287.1,5.6,823.74,279.37,1103.1,1456.81,2280.55
SME0188,Layered Look,Pune,Georgette,2025,1,465.8,29661.1,5133.2,31.0,3285.22,1122.95,4408.17,7257.58,10542.8
SME0189,Casual Ease,Chennai,Cotton,2025,5,419.1,38645.0,3255.3,23.5,2083.4,482.43,2565.83,7075.66,9159.06
SME0190,Evening Glam,Kolkata,Polyester,2025,8,139.8,5684.4,2301.6,9.6,1472.99,409.7,1882.69,2178.21,3651.2
SME0191,Cozy Comfort,Mumbai,Cotton,2025,7,256.7,28013.2,2176.0,14.3,1392.63,313.5,1706.13,4333.86,5726.49
SME0192,Sparkling Look,Delhi,Satin,2025,4,1328.3,86786.9,17155.3,96.1,10979.4,3099.61,14079.01,20696.1,31675.5
